Date,ID,duration,finished,age,state,QID4,QID5,QID6_TEXT,QID7,QID8a,QID8b,QID8c,QID9_1,QID9_2,QID9_3,QID75,QID10,QID81,QID76&77,QID55_TEXT,QID52&45,QID51&46_TEXT,QID80&73,QID40,QID41,QID41_1_TEXT,QID56,QID56_1_TEXT,QID43_TEXT,QID79g,QID79f,QID79e,QID79d,QID79c,QID79b,QID79a,QID47,QID13_1,QID13_2,QID13_3,QID13_4,QID13_5,QID13_6,QID13_7,QID13_8,QID13_9,QID13_10,QID13_11,QID13_12,QID13_13,QID14,QID17,QID16_1,QID16_2,QID16_3,QID16_4,QID16_5,QID16_6,QID16_7,QID16_8,QID18,QID20,QID22_1,QID22_2,QID22_3,QID22_4,QID22_5,QID22_6,QID22_7,QID22_8,QID22_9,QID22_10,QID29alt,QID29,QID30c,QID30b,QID30a,QID31,QID32_TEXT,QID88,QID35,QID36,QID37,QID38
10/7/16,1103,464,1,29,7,3,2,2,4,1.0,13.0,4.0,4,2,4,1,3,2.0,4.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,15.0,,,,1.0,2.0,3.0,5.0,1,1,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2,3.0,3.0,4.0,3,3.0,5.0,4,3.0,2.0,1.0,3,1.0,4.0,1,1.0,5.0,5.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,4.0,1,1,,,1.0,6,1.0,7,5,3,3.0,3.0
10/7/16,1104,959,1,27,44,1,1,12,2,1.0,2.0,3.0,4,2,2,1,3,4.0,4.0,30.0,2.0,2.0,1.0,,,,,,,,,,,,3.0,4.0,1,1,1.0,4.0,2.0,5.0,2.0,4.0,3.0,4.0,3,4.0,2.0,1.0,2,1.0,4.0,2,4.0,2.0,5.0,4,4.0,3.0,2,3.0,6.0,3.0,5.0,3.0,4.0,6.0,4.0,5.0,4.0,5.0,1,1,,,4.0,1,5.0,3,2,4,2.0,1.0
10/7/16,1105,838,1,32,31,2,2,6,5,1.0,,,2,1,1,4,3,6.0,4.0,,2.0,0.01,3.0,1.0,1.0,5.0,1.0,1.0,24.0,,,,1.0,6.0,3.0,5.0,2,2,3.0,3.0,2.0,4.0,2.0,3.0,1.0,1.0,1,1.0,1.0,3.0,5,2.0,5.0,3,3.0,2.0,1.0,1,1.0,1.0,1,1.0,2.0,1.0,4.0,7.0,1.0,1.0,7.0,1.0,7.0,1.0,2,2,,,1.0,1,2.0,2,1,5,7.0,3.0
10/7/16,1106,283,1,27,6,2,1,10,1,4.0,5.0,9.0,1,5,3,4,4,6.0,3.0,,1.0,,2.0,1.0,1.0,2.0,1.0,5.0,12.0,,,,,,,1.0,2,2,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3,2.0,2.0,3.0,3,3.0,5.0,1,2.0,2.0,1.0,1,1.0,3.0,2,2.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,2,2,,,1.0,2,2.0,3,2,5,8.0,2.0
10/7/16,1107,844,1,30,33,2,1,15,1,14.0,4.0,5.0,1,3,3,5,4,6.0,3.0,,2.0,2.0,1.0,1.0,1.0,8.0,1.0,10.0,12.0,,,,6.0,2.0,3.0,7.0,1,1,1.0,4.0,1.0,5.0,1.0,3.0,2.0,1.0,1,1.0,1.0,2.0,4,2.0,4.0,1,2.0,3.0,2.0,2,1.0,1.0,2,1.0,4.0,7.0,7.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,1,1,,,1.0,6,3.0,6,4,5,5.0,2.0
10/7/16,1108,402,1,23,44,1,2,10,1,3.0,4.0,5.0,2,5,4,4,3,5.0,3.0,9.99,2.0,2.99,2.0,,,,,,,,,,,,1.0,6.0,2,3,2.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3,1.0,2.0,4.0,5,3.0,4.0,2,3.0,4.0,2.0,3,2.0,4.0,1,4.0,6.0,7.0,5.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,1,1,,,1.0,6,1.0,3,2,5,4.0,2.0
10/7/16,1109,560,1,32,26,2,1,6,1,4.0,5.0,9.0,2,3,2,4,2,1.0,3.0,,2.0,2.99,3.0,1.0,1.0,7.0,2.0,,9.99,,,,,1.0,4.0,5.0,2,2,1.0,3.0,2.0,5.0,1.0,4.0,3.0,1.0,1,1.0,1.0,3.0,5,2.0,5.0,2,2.0,2.0,1.0,1,1.0,3.0,1,1.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0,4.0,5.0,1.0,1,1,,,1.0,1,3.0,5,4,5,6.0,3.0
10/7/16,1110,321,1,26,4,2,1,4,3,3.0,,,4,4,1,5,1,4.0,4.0,9.99,2.0,3.0,3.0,,,,,,,,,,,,6.0,5.0,2,3,3.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,3,1.0,3.0,4.0,4,2.0,4.0,4,2.0,2.0,1.0,1,2.0,3.0,2,2.0,3.0,5.0,3.0,6.0,2.0,2.0,1.0,2.0,4.0,2.0,1,1,,,1.0,6,3.0,5,4,5,8.0,3.0
10/7/16,1111,591,1,27,44,1,1,9,1,1.0,6.0,7.0,2,2,3,5,3,6.0,4.0,14.28,2.0,3.0,2.0,,,,,,,,,,,1.0,6.0,5.0,2,4,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2,2.0,2.0,3.0,3,3.0,4.0,4,3.0,3.0,2.0,2,2.0,3.0,2,3.0,3.0,3.0,4.0,6.0,3.0,3.0,4.0,3.0,5.0,4.0,1,1,,,1.0,2,3.0,4,5,4,3.0,1.0
10/7/16,1112,1742,1,54,36,1,2,24,1,1.0,2.0,8.0,3,2,3,5,5,4.0,4.0,12.99,2.0,1.0,3.0,,,,,,,,,,,,,8.0,2,2,3.0,3.0,1.0,5.0,2.0,5.0,3.0,1.0,2,2.0,2.0,5.0,4,3.0,4.0,5,3.0,3.0,1.0,1,3.0,1.0,3,2.0,6.0,4.0,6.0,6.0,4.0,1.0,1.0,1.0,3.0,3.0,1,1,,,1.0,4,2.0,7,4,3,2.0,2.0
10/7/16,1113,599,1,31,36,2,3,8,1,2.0,,,3,2,5,5,2,6.0,4.0,16.0,2.0,3.0,2.0,,,,,,,,,,,,,6.0,3,2,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1,1.0,1.0,3.0,3,3.0,5.0,3,3.0,4.0,1.0,1,4.0,1.0,1,1.0,2.0,7.0,4.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,2,2,,,1.0,2,4.0,3,3,4,4.0,1.0
10/7/16,1114,290,1,27,6,2,1,2,1,1.0,,,4,2,4,5,2,6.0,4.0,7.5,1.0,,3.0,,,,,,,,,,,,,8.0,4,4,2.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,5,1.0,2.0,5.0,1,5.0,5.0,5,4.0,4.0,2.0,5,5.0,4.0,6,2.0,6.0,2.0,4.0,7.0,2.0,2.0,3.0,2.0,4.0,2.0,1,1,,,4.0,6,1.0,7,4,5,3.0,3.0
10/7/16,1115,293,1,34,14,1,2,7,1,1.0,13.0,5.0,1,3,3,4,3,3.0,3.0,9.99,2.0,11.99,3.0,,,,,,,,,,6.0,3.0,4.0,5.0,1,1,2.0,3.0,3.0,5.0,1.0,3.0,3.0,3.0,3,1.0,4.0,4.0,4,3.0,5.0,2,3.0,3.0,1.0,3,1.0,2.0,3,2.0,2.0,5.0,,4.0,1.0,1.0,2.0,3.0,4.0,1.0,2,2,,,4.0,1,2.0,2,3,8,8.0,2.0
10/7/16,1116,532,1,32,17,3,3,2,5,10.0,11.0,2.0,3,2,4,2,2,1.0,3.0,,2.0,2.5,3.0,1.0,1.0,4.0,1.0,6.0,5.0,,,,,,6.0,5.0,2,3,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2,3.0,4.0,3.0,3,3.0,3.0,2,3.0,3.0,2.0,4,3.0,3.0,3,3.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,6.0,4.0,6.0,1,1,,,6.0,1,6.0,3,7,5,8.0,3.0
10/7/16,1117,462,1,40,34,2,2,3,1,1.0,,,3,2,4,5,4,6.0,5.0,,1.0,,5.0,1.0,1.0,8.0,1.0,1.0,30.0,,,,,,,5.0,2,1,1.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,1,2.0,4.0,3.0,2,4.0,5.0,5,3.0,4.0,2.0,2,1.0,2.0,3,3.0,1.0,3.0,1.0,1.0,7.0,7.0,7.0,3.0,1.0,4.0,2,2,,,2.0,1,3.0,2,4,4,7.0,3.0
10/7/16,1118,526,1,63,41,2,2,6,3,13.0,4.0,9.0,3,2,3,4,2,4.0,3.0,10.0,2.0,3.0,2.0,,,,,,,,,,,1.0,2.0,5.0,4,4,3.0,2.0,1.0,2.0,4.0,5.0,3.0,3.0,2,1.0,1.0,3.0,5,3.0,2.0,1,2.0,2.0,1.0,2,1.0,2.0,1,1.0,2.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,4.0,2.0,2,2,,,1.0,1,2.0,2,1,3,5.0,3.0
10/7/16,1119,645,1,39,44,1,1,12,1,1.0,5.0,9.0,2,3,3,5,3,1.0,3.0,8.99,2.0,1.0,3.0,,,,,,,,,,,,,6.0,2,3,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2,3.0,3.0,3.0,3,3.0,5.0,3,3.0,3.0,2.0,2,2.0,3.0,3,2.0,3.0,7.0,6.0,5.0,1.0,3.0,2.0,3.0,3.0,4.0,1,1,,,1.0,1,4.0,3,4,5,7.0,3.0
10/7/16,1120,643,1,40,27,3,2,0,5,1.0,,,3,2,4,5,1,4.0,4.0,,2.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,6.0,,,,,,,1.0,3,4,3.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3,3.0,2.0,4.0,3,3.0,5.0,4,3.0,3.0,2.0,3,3.0,3.0,5,3.0,5.0,5.0,5.0,6.0,3.0,3.0,2.0,1.0,3.0,3.0,1,1,,,1.0,6,3.0,6,6,3,4.0,3.0
10/7/16,1121,1670,1,32,14,3,3,3,5,1.0,,,2,4,3,5,3,6.0,4.0,14.0,2.0,2.0,3.0,,,,,,,,,,,1.0,6.0,3.0,4,2,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,1,3.0,3.0,3.0,4,3.0,5.0,4,3.0,3.0,2.0,3,2.0,3.0,3,1.0,5.0,7.0,7.0,7.0,3.0,3.0,4.0,5.0,7.0,2.0,2,2,,,1.0,1,4.0,2,4,6,5.0,2.0
10/7/16,1122,595,1,23,33,2,2,3,1,1.0,,,3,2,3,5,3,6.0,3.0,7.0,2.0,2.0,2.0,,,,,,,,,,,,,8.0,5,1,2.0,4.0,2.0,4.0,2.0,1.0,4.0,1.0,3,1.0,1.0,4.0,3,4.0,5.0,4,3.0,3.0,2.0,4,2.0,2.0,3,3.0,3.0,4.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0,1.0,1,1,,,1.0,6,2.0,7,2,5,4.0,3.0
10/7/16,1123,265,1,38,10,1,1,12,1,3.0,,,3,2,3,5,4,1.0,2.0,11.5,2.0,13.0,2.0,,,,,,,,,,,,,2.0,2,3,1.0,3.0,2.0,5.0,2.0,4.0,1.0,1.0,1,1.0,1.0,4.0,4,2.0,5.0,3,3.0,3.0,1.0,3,1.0,2.0,2,1.0,2.0,5.0,2.0,7.0,3.0,4.0,1.0,1.0,2.0,1.0,1,1,,,1.0,1,3.0,4,1,5,5.0,3.0
10/7/16,1124,198,1,28,21,2,1,7,1,12.0,7.0,9.0,1,2,3,4,3,3.0,3.0,10.0,2.0,12.0,2.0,,,,,,,,,,,,1.0,4.0,2,3,2.0,2.0,,2.0,1.0,2.0,1.0,3.0,3,2.0,1.0,2.0,4,3.0,2.0,1,3.0,1.0,3.0,2,2.0,2.0,2,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,1,1,,,4.0,2,2.0,3,3,5,6.0,2.0
10/7/16,1125,324,1,26,6,1,1,6,1,2.0,,,4,3,3,4,3,6.0,3.0,7.0,2.0,5.0,4.0,,,,,,,,,,,,,5.0,4,4,3.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,3,2.0,3.0,4.0,3,1.0,2.0,4,4.0,3.0,2.0,3,4.0,2.0,1,1.0,4.0,4.0,5.0,6.0,4.0,6.0,5.0,3.0,4.0,5.0,1,1,,,1.0,6,3.0,2,5,3,2.0,2.0
10/7/16,1126,293,1,30,6,2,2,5,1,12.0,5.0,7.0,4,4,2,4,2,4.0,3.0,8.0,1.0,,2.0,,,,,,,,,,,,1.0,4.0,2,2,3.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,3,1.0,1.0,4.0,2,2.0,5.0,2,3.0,1.0,4.0,3,1.0,2.0,3,1.0,3.0,7.0,2.0,7.0,4.0,3.0,6.0,2.0,4.0,3.0,2,2,,,1.0,1,2.0,3,1,2,6.0,2.0
